id,created_at,u_screen_name,u_followers,u_created_at,rt_id,rt_created_at,rt_screen_name,rt_u_followers,rt_u_created_at,text
ID_1488301074339434498,Tue Feb 01 00:00:02 +0000 2022,OldMainBell,1176,Tue Apr 20 17:14:03 +0000 2010,NA,NA,NA,NA,NA,Ding* Ding ding^ ding... Ding ding* ding #PennState #BlackLivesMatter #JusticeForAll
ID_1488301094019162113,Tue Feb 01 00:00:06 +0000 2022,avalengajr,2774,Thu Oct 14 19:16:21 +0000 2010,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78231,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488301094019162113,Tue Feb 01 00:00:06 +0000 2022,avalengajr,2774,Thu Oct 14 19:16:21 +0000 2010,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78231,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488301096829399045,Tue Feb 01 00:00:07 +0000 2022,matt_dragon,847,Sat Aug 27 13:29:38 +0000 2011,RID_593785378,Mon Jan 31 16:53:05 +0000 2022,MorganJerkins,53423,Mon Jan 31 16:53:05 +0000 2022,"RT @MorganJerkins: .@zakcheneyrice on Black athletes-turned-activists and its stakes:

https://t.co/wfsPLf5OAW"
ID_1488301100268548099,Tue Feb 01 00:00:08 +0000 2022,AlexAguiar19,447,Tue Feb 26 12:57:20 +0000 2013,RID_398885521,Mon Jan 31 21:43:06 +0000 2022,raulmelamed,42449,Mon Jan 31 21:43:06 +0000 2022,"RT @raulmelamed: Marica de mierda, hipócrita e hijo de su puta madre y su puto padre, tirano como este engendro.
Debe terminar en la horca.…"
ID_1488301102856642567,Tue Feb 01 00:00:08 +0000 2022,EdwinCardonaMty,2982,Wed Dec 17 22:07:06 +0000 2014,NA,NA,NA,NA,NA,"Recordatorio de que las protestas ""pacíficas"" sólo sirven cuando su objetivo es algo que la élite quiere, pero los… https://t.co/psYee5ZJxX"
ID_1488301100268548099,Tue Feb 01 00:00:08 +0000 2022,AlexAguiar19,447,Tue Feb 26 12:57:20 +0000 2013,RID_398885521,Mon Jan 31 21:43:06 +0000 2022,raulmelamed,42449,Mon Jan 31 21:43:06 +0000 2022,"RT @raulmelamed: Marica de mierda, hipócrita e hijo de su puta madre y su puto padre, tirano como este engendro.
Debe terminar en la horca.…"
ID_1488301102856642567,Tue Feb 01 00:00:08 +0000 2022,EdwinCardonaMty,2982,Wed Dec 17 22:07:06 +0000 2014,NA,NA,NA,NA,NA,"Recordatorio de que las protestas ""pacíficas"" sólo sirven cuando su objetivo es algo que la élite quiere, pero los… https://t.co/psYee5ZJxX"
ID_1488301107570831360,Tue Feb 01 00:00:09 +0000 2022,thedevildrexl,1958,Tue Dec 01 01:38:32 +0000 2009,NA,NA,NA,NA,NA,Hey Academy make sure and pack your books cause paper cut class will be in session!
ID_1488301103582105605,Tue Feb 01 00:00:09 +0000 2022,TemplarioDsm,40,Thu Jan 13 22:43:02 +0000 2022,RID_1290049409993117696,Mon Jan 31 18:02:41 +0000 2022,bernardokuster2,160151,Mon Jan 31 18:02:41 +0000 2022,"RT @bernardokuster2: Após pegar Covid e ter de ficar (convenientemente) isolado, o PM canadense Justin Trudeau, acusa o imenso comboio de c…"
